"Country","Year","Sex","Age group","Mean total cholesterol (mmol/L)","Mean total cholesterol lower 95% uncertainty interval (mmol/L)","Mean total cholesterol upper 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol (mmol/L)","Mean non-HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol upper 95% uncertainty interval (mmol/L)","Mean HDL cholesterol (mmol/L)","Mean HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean HDL cholesterol upper 95% uncertainty interval (mmol/L)"
"Canada",2000,"Men","18-19",4.16841121701597,3.9907243922585,4.35077256887548,2.89670379228606,2.74684284723207,3.04831207310861,1.21188669580793,1.13266845459705,1.29286952007021
"Canada",2000,"Men","20-24",4.48881429169838,4.3148087266129,4.66409560574395,3.22977851843342,3.09860688270184,3.36124920757223,1.20707507621627,1.13030868392861,1.28538799826839
"Canada",2000,"Men","25-29",4.87002509809659,4.6865650396649,5.05581970261933,3.62842936950229,3.50676541359286,3.75193258694187,1.19866944422537,1.12303157846143,1.27547212489485
"Canada",2000,"Men","30-34",5.16565201431762,4.97055639968982,5.36810481400837,3.93935856368096,3.81534560746547,4.06449232992354,1.19014353859009,1.11496176326237,1.26650865660356
"Canada",2000,"Men","35-39",5.38061211888296,5.17307974940052,5.59336943677607,4.16597365381625,4.0384234636692,4.2949692864107,1.18336619214622,1.10724423254314,1.26040757084548
"Canada",2000,"Men","40-44",5.51982249031409,5.30663669664819,5.74129045030922,4.311682192755,4.17900661357336,4.44473732882171,1.18020623772954,1.10237155367277,1.25742112835813
"Canada",2000,"Men","45-49",5.58831960069253,5.36820820057762,5.81696696700456,4.38012448921864,4.24264608635058,4.51956331267837,1.18243250366029,1.10381544078491,1.26220542826361
"Canada",2000,"Men","50-54",5.5938859739808,5.36774968083486,5.83325242052548,4.38029423704413,4.23846037804755,4.5237927227849,1.18951371440129,1.10952923316348,1.27181850340853
"Canada",2000,"Men","55-59",5.54705018602241,5.31546090702556,5.78869513773902,4.326538515184,4.18056663346527,4.47622166070452,1.19861849055798,1.11784014109399,1.28258295550352
"Canada",2000,"Men","60-64",5.45854572957199,5.22343484727988,5.7026581343309,4.2333973027161,4.08162303868962,4.38925993662329,1.20689646704966,1.1257379296337,1.29115035208321
"Canada",2000,"Men","65-69",5.34107313445883,5.10290079011031,5.58965268169567,4.11449389648579,3.95868115020434,4.27325395655756,1.21336071187257,1.13262927918497,1.29750552192672
"Canada",2000,"Men","70-74",5.20929996758692,4.96140739433805,5.46007304029624,3.98253491110586,3.81713279066307,4.14928471528755,1.21888772609989,1.13857563374987,1.30360631573739
"Canada",2000,"Men","75-79",5.07797931921128,4.81749794757116,5.33988721735199,3.85018710543989,3.6709795672052,4.03067082201714,1.22443502963422,1.14170208772357,1.31063856802415
"Canada",2000,"Men","80-84",4.96186427958696,4.67147751099538,5.25009694894761,3.73011723835144,3.51199523290825,3.95261257431584,1.23096014237815,1.13995620644726,1.3233601667177
"Canada",2000,"Men","85plus",4.85896201532593,4.47673688983786,5.24760058493993,3.61455222220741,3.27096151816516,3.97050815401208,1.24226672548151,1.1264323676754,1.35530293528638
"Canada",2001,"Men","18-19",4.14836307915373,3.96916971386431,4.33025773254757,2.87553669919655,2.72584698622792,3.02704705124593,1.21540210820505,1.13694342453259,1.29680622554765
"Canada",2001,"Men","20-24",4.46545401990304,4.29019518019861,4.64129145920028,3.2051430789232,3.07390519997015,3.33652869256531,1.21062985448506,1.13543991878817,1.28767776697123
"Canada",2001,"Men","25-29",4.84297549734557,4.66030976884174,5.02934254808655,3.59971011819128,3.4782286044831,3.72304230545704,1.20226894011099,1.12796988265715,1.27756198185708
"Canada",2001,"Men","30-34",5.13590739018002,4.94106354280442,5.3369539478388,3.90741691485533,3.785498128839,4.03143055287851,1.19378165518937,1.11925793321405,1.2685229271046
"Canada",2001,"Men","35-39",5.34890908906507,5.14486589879639,5.56363609883542,4.13148962743936,4.00508091234073,4.25869780536265,1.18704511618346,1.11154219839879,1.26277362375402
"Canada",2001,"Men","40-44",5.48663998465942,5.2743890699692,5.71068782660335,4.27515441446737,4.14494915954511,4.40626127580681,1.18393643955652,1.10770276162997,1.26074643792991
"Canada",2001,"Men","45-49",5.55388631622395,5.33430184945494,5.78644391749237,4.34187290754127,4.20550826902327,4.47844771750866,1.18623202359001,1.10900754030014,1.26462272650862
"Canada",2001,"Men","50-54",5.55835184087037,5.33278207130617,5.79597824160521,4.34052261905479,4.19887881105734,4.482220715754,1.19339174838453,1.11498001218714,1.27397660647233
"Canada",2001,"Men","55-59",5.51065783356118,5.28243888184284,5.7524657695805,4.28539694219353,4.1405108949409,4.43279189555598,1.20255897585981,1.12286202917775,1.28547047285259
"Canada",2001,"Men","60-64",5.42163105480494,5.19241921448498,5.66517459093786,4.19098987757635,4.04103280830619,4.34531637950308,1.21085851293682,1.13100967919862,1.29498264138911
"Canada",2001,"Men","65-69",5.30390691481917,5.07113769388095,5.55185358187112,4.07099351599593,3.91601353077561,4.2299978161099,1.21730491974578,1.13800880754573,1.30158518235074
"Canada",2001,"Men","70-74",5.17192947353028,4.92826524461464,5.42072964956401,3.93829803841874,3.77583225694321,4.10412901052535,1.22280250962618,1.14375987633718,1.30752230324704
"Canada",2001,"Men","75-79",5.04022142780857,4.78006674329651,5.29820029186652,3.80575876016664,3.62830834342507,3.98519430795203,1.22833775910054,1.14792719299753,1.31381857772189
"Canada",2001,"Men","80-84",4.92330547452431,4.63736416578711,5.20934749139185,3.68623099656149,3.47035801432772,3.90815838553143,1.23489714469135,1.14660865147653,1.3263651448932
"Canada",2001,"Men","85plus",4.81840707001047,4.43739645688726,5.20678389692081,3.57273112854168,3.22824303072517,3.93120511245238,1.24636139442092,1.13216761978703,1.35813967216816
